fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
260,0.148654188,-0.024267114,-0.01082659,0.374860168,0.300106779,0.262445045,0.209758149
261,0.120731592,-0.036652185,-0.065860394,0.302641817,0.213490876,0.163154531,0.117611287
262,0.225169165,-0.009359586,-0.005062993,0.349990539,0.311998941,0.269411937,0.212823366
263,0.099186931,0.028194777,0.042975815,0.180480366,0.111362708,0.150774217,0.114277884
264,0.209151926,-0.014841451,-0.006487504,0.376615414,0.308653875,0.268618668,0.230632499
265,0.132058373,-0.024458204,0.005455353,0.282886426,0.244060159,0.166845753,0.123655869
266,0.166820605,0.042689764,0.049038834,0.234800419,0.214999675,0.202088534,0.172121503
267,0.199969614,-0.03025633,-0.012710673,0.270656209,0.212443232,0.191759203,0.180176432
268,-0.007386844,-0.07189274,-0.058928038,0.061934481,0.066575091,0.208121544,0.082450201
269,0.197288353,0.03100314,0.058110043,0.306698279,0.249482992,0.227049093,0.196156754
270,0.235482533,-0.033320415,-0.014719946,0.393199442,0.32348879,0.291061365,0.243804778
271,0.10527139,0.069039513,0.074810704,0.209130314,0.243897215,0.128854312,0.160180694
272,0.243390084,-0.009579576,-0.025973088,0.391983804,0.320354609,0.277048512,0.204273445
273,0.14188557,0.007680098,-0.021973608,0.306165824,0.25209744,0.175046867,0.145857263
274,0.156656734,0.140914928,0.039440072,0.278081754,0.219871693,0.185511563,0.150920135
275,0.119844236,0.039117738,-0.019534719,0.170213092,0.174558554,0.128805239,0.115986039
276,-0.06295629,-0.066416756,-0.05256066,-0.051809484,-0.042807952,-0.033162937,-0.023926209
277,-0.023686415,0.028835193,-0.026396977,0.127670496,0.117031996,0.104372567,0.094068279
278,0.154143516,0.007196236,0.045296262,0.197047857,0.16948593,0.140229996,0.164145043
279,0.140126974,0.067025598,0.082697412,0.261774838,0.276149713,0.177357049,0.146958769
280,0.194771586,0.015530715,0.025716113,0.341720259,0.30458631,0.27031082,0.197223221
281,0.150960358,-0.036201268,0.019251462,0.317707992,0.276861014,0.22242518,0.172048615
282,0.196987195,-0.024786065,-0.027808866,0.348216882,0.299212495,0.259747269,0.188839081
283,0.10550336,0.020723045,-0.019385391,0.234736714,0.217304536,0.189266428,0.122020148
284,0.184455081,-0.018878425,0.003546504,0.346429073,0.244301419,0.198530725,0.154080358
285,0.160501984,-0.029488821,0.001367357,0.305033214,0.250900453,0.207036373,0.137776798
286,0.261206513,-0.025664936,0.001650849,0.343403767,0.331010314,0.300739886,0.245935369
