fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
207,0.390894528,0.292741839,0.240787241,0.572624683,0.509335992,0.44339207,0.411447257
208,0.453522265,0.383303746,0.438732837,0.546941223,0.567662154,0.492123978,0.465380322
209,0.351198381,0.270170895,0.186040359,0.546594204,0.446955884,0.423580375,0.382493804
210,0.320980686,0.390525542,0.256694531,0.353233711,0.363300516,0.341558939,0.278233661
211,0.369139886,0.238139598,0.213792685,0.627137167,0.497952657,0.41939571,0.356179422
212,0.358675836,0.217437532,0.20216885,0.570009641,0.439190602,0.372884716,0.331222943
213,0.335071731,0.259192798,0.208472659,0.521550507,0.528383657,0.470295026,0.404264511
214,0.48149942,0.247236427,0.283714518,0.733102712,0.614857554,0.553191356,0.476528556
215,0.331077176,0.208146885,0.202433323,0.523945491,0.461396324,0.417922732,0.346056878
216,0.384700708,0.226510943,0.280753299,0.622674486,0.463170879,0.394867977,0.341586278
217,0.347700627,0.316601343,0.286315922,0.512120278,0.503031847,0.404348439,0.365056939
218,0.257731067,0.188141051,0.193122723,0.396633105,0.334566203,0.319190858,0.303322437
219,0.403654486,0.207266193,0.261274718,0.571641037,0.505313746,0.456693642,0.401916115
220,0.388915596,0.286823314,0.194848732,0.539061177,0.484286623,0.442167269,0.399323069
221,0.358814757,0.185473542,0.200067546,0.579120579,0.449878705,0.400071869,0.348523485
222,0.419202487,0.233286007,0.217942446,0.627419208,0.538049413,0.478073086,0.41385235
223,0.392351788,0.207312013,0.229749846,0.636305951,0.554774138,0.492824547,0.430319565
224,0.428804221,0.219916746,0.214216459,0.638094768,0.563424361,0.515234926,0.436220809
225,0.324054951,0.366894843,0.237796046,0.416617937,0.41315377,0.318518525,0.285768426
226,0.415115564,0.232231926,0.307894107,0.586904545,0.537544928,0.47794197,0.401097432
227,0.320552127,0.20066225,0.220786189,0.620787852,0.449773484,0.353951448,0.324925098
